"","name","id","align","eye","hair","gender","gsm","alive","appearances","first_appear","publisher"
"1","Natalia Romanova (Earth-616)","Public","Good","Green Eyes","Red Hair","Female","Bisexual Characters","Living Characters",1050,"Apr-64","marvel"
"2","Hercules (Earth-616)","No Dual","Good","Blue Eyes","Brown Hair","Male","Bisexual Characters","Living Characters",725,"Oct-65","marvel"
"3","Elizabeth Braddock (Earth-616)","Secret","Neutral","Blue Eyes","Purple Hair","Female","Bisexual Characters","Living Characters",708,"Dec-76","marvel"
"4","Loki Laufeyson (Earth-616)","No Dual","Neutral","Green Eyes","Black Hair","Other","Bisexual Characters","Living Characters",532,"Aug-49","marvel"
"5","Deadpool (Wade Wilson)","Secret","Neutral","Brown Eyes","Bald","Male","Transvestites","Living Characters",500,"Feb-91","marvel"
"6","Raven Darkholme (Earth-616)","Secret","Bad","Yellow Eyes","Red Hair","Female","Bisexual Characters","Living Characters",371,"Apr-78","marvel"
"7","Heather Douglas (Earth-616)","Secret","Good","Blue Eyes","Bald","Female","Bisexual Characters","Living Characters",323,"Jan-73","marvel"
"8","Jean-Paul Beaubier (Earth-616)","Secret","Good","Blue Eyes","Black Hair","Male","Homosexual Characters","Living Characters",313,"Apr-79","marvel"
"9","Chili Storm (Earth-616)","Public",NA,"Green Eyes","Red Hair","Female","Homosexual Characters","Living Characters",284,"Oct-48","marvel"
"10","Jonathan Clay (Earth-616)","Secret","Good","Blue Eyes","Red Hair","Male","Homosexual Characters","Living Characters",237,"Aug-60","marvel"
"11","Julio Richter (Earth-616)","Secret","Good","Brown Eyes","Brown Hair","Male","Homosexual Characters","Living Characters",231,"Jun-87","marvel"
"12","Akihiro (Earth-616)","Secret","Bad","Blue Eyes","Black Hair","Male","Bisexual Characters","Living Characters",189,"Oct-06","marvel"
"13","Victor Borkowski (Earth-616)","Secret","Good","Brown Eyes","Black Hair","Male","Homosexual Characters","Living Characters",184,"Aug-03","marvel"
"14","Julie Power (Earth-616)","Secret","Good","Blue Eyes","Strawberry Blond Hair","Female","Pansexual Characters","Living Characters",150,"Aug-84","marvel"
"15","Marlo Chandler (Earth-616)","Public","Good","Blue Eyes","Red Hair","Female","Bisexual Characters","Living Characters",131,"Sep-88","marvel"
"16","William Kaplan (Earth-616)","Secret","Good","Brown Eyes","Black Hair","Male","Homosexual Characters","Living Characters",119,"Apr-05","marvel"
"17","Doop (Earth-616)","No Dual","Good","Variable Eyes","Black Hair","Male","Bisexual Characters","Living Characters",113,"Jul-01","marvel"
"18","David Alleyne (Earth-616)","Secret","Good","Brown Eyes","Black Hair","Male","Bisexual Characters","Living Characters",113,"Oct-03","marvel"
"19","Miguel Santos (Earth-616)","Secret","Good","Brown Eyes","Black Hair","Male","Homosexual Characters","Living Characters",111,"Oct-90","marvel"
"20","Dorrek VIII (Earth-616)","Public","Good","Blue Eyes","Blond Hair","Male","Homosexual Characters","Living Characters",103,"Apr-05","marvel"
"21","Victoria Hand (Earth-616)","No Dual","Neutral","Hazel Eyes","Black Hair","Female","Homosexual Characters","Deceased Characters",98,"Feb-09","marvel"
"22","Karolina Dean (Earth-616)","Secret","Good","Blue Eyes","Blond Hair","Female","Homosexual Characters","Living Characters",86,"Jul-03","marvel"
"23","Irene Adler (Earth-616)","Secret","Neutral","White Eyes","Silver Hair","Female","Bisexual Characters","Deceased Characters",82,"Jan-81","marvel"
"24","Roxanne Washington (Earth-616)","Secret",NA,NA,NA,"Female","Homosexual Characters","Living Characters",81,"Aug-05","marvel"
"25","Yukio (Earth-616)","No Dual","Neutral","Brown Eyes","Black Hair","Female","Bisexual Characters","Living Characters",68,"Sep-82","marvel"
"26","Tong (Moloid) (Earth-616)","Secret","Good",NA,"No Hair","Female","Transgender Characters","Living Characters",67,"Mar-10","marvel"
"27","Jennifer Kale (Earth-616)","Secret","Good","Blue Eyes","Blond Hair","Female","Bisexual Characters","Deceased Characters",65,"Dec-72","marvel"
"28","Brandon Sharpe (Earth-616)","Public","Good","Brown Eyes","Black Hair","Male","Homosexual Characters","Living Characters",62,"Aug-10","marvel"
"29","Max Modell (Earth-616)","Public","Good","Blue Eyes","Red Hair","Male","Homosexual Characters","Living Characters",57,"Jan-11","marvel"
"30","Phyla-Vell (Earth-616)","Public","Good","Blue Eyes","White Hair","Female","Homosexual Characters","Deceased Characters",56,"Jan-04","marvel"
"31","Brian Falsworth (Earth-616)","Secret",NA,"Brown Eyes","Brown Hair","Male","Homosexual Characters","Deceased Characters",53,"Jul-77","marvel"
"32","Deidre Wentworth (Earth-616)","Secret","Bad","Blue Eyes","Black Hair","Female","Homosexual Characters","Living Characters",49,"Jul-91","marvel"
"33","Jonas Graymalkin (Earth-616)","No Dual","Good","White Eyes","No Hair","Male","Homosexual Characters","Living Characters",48,"Jun-08","marvel"
"34","Myles Alfred (Earth-616)","Secret","Good","Brown Eyes","Brown Hair","Male","Homosexual Characters","Deceased Characters",46,"Aug-01","marvel"
"35","Miranda Leevald (Earth-616)","Public","Neutral","Green Eyes","Black Hair","Female","Bisexual Characters","Living Characters",45,"Dec-01","marvel"
"36","Roger Aubrey (Earth-616)","Secret",NA,"Blue Eyes","Blond Hair","Male","Homosexual Characters","Living Characters",43,"Mar-43","marvel"
"37","Katerina van Horn (Earth-616)","Public",NA,"Blue Eyes","Red Hair","Female","Homosexual Characters","Living Characters",42,"Apr-73","marvel"
"38","Sybil Dvorak (Earth-616)","Secret","Bad","Brown Eyes","Brown Hair","Female","Bisexual Characters","Living Characters",40,"Jan-79","marvel"
"39","Benjamin Deeds (Earth-616)","No Dual","Good","Brown Eyes","Brown Hair","Male","Homosexual Characters","Living Characters",40,"Feb-13","marvel"
"40","William Robert Reilly (Earth-616)","Public",NA,"Blue Eyes","Blond Hair","Male","Homosexual Characters","Deceased Characters",37,"Aug-01","marvel"
"41","Val Ventura (Earth-616)","Secret","Good","Brown Eyes","Brown Hair","Male","Homosexual Characters","Living Characters",34,"Jul-89","marvel"
"42","Amy Chen (Earth-616)","Secret","Neutral","Black Eyes","Black Hair","Female","Homosexual Characters","Living Characters",34,"Jul-92","marvel"
"43","Victoria Montesi (Earth-616)","Secret","Good",NA,"Black Hair","Female","Homosexual Characters","Living Characters",33,"Oct-92","marvel"
"44","Xavin (Earth-616)","Secret","Good","Brown Eyes","Brown Hair","Other","Genderfluid Characters","Living Characters",33,"Oct-05","marvel"
"45","Hector (Pantheon) (Earth-616)","Secret",NA,NA,"Black Hair","Male","Homosexual Characters","Living Characters",29,"Mar-91","marvel"
"46","Arnie Roth (Earth-616)","No Dual","Good",NA,NA,"Male","Homosexual Characters","Deceased Characters",26,"Apr-82","marvel"
"47","Sinclair Abbott (Earth-616)","Secret","Bad","Blue Eyes","Blond Hair","Male","Bisexual Characters","Deceased Characters",26,"Feb-06","marvel"
"48","Jack Casey (Earth-616)","No Dual","Good",NA,"Brown Hair","Male","Homosexual Characters","Deceased Characters",23,"Dec-40","marvel"
"49","Timothy Cababa (Earth-616)","Secret","Good","Hazel Eyes","Black Hair","Male","Homosexual Characters","Living Characters",23,"Sep-10","marvel"
"50","Cullen Bloodstone (Earth-616)","No Dual","Neutral","Green Eyes","Blond Hair","Male","Homosexual Characters","Living Characters",23,"Feb-13","marvel"
"51","Kyle Jinadu (Earth-616)","Public","Good","Brown Eyes","Black Hair","Male","Homosexual Characters","Living Characters",21,"Jun-09","marvel"
"52","Janice Lincoln (Earth-616)","Secret","Neutral","Black Eyes","Black Hair","Female","Bisexual Characters","Living Characters",18,"Aug-10","marvel"
"53","Wally Layton (Earth-616)","No Dual","Good","Grey Eyes","Brown Hair","Male","Homosexual Characters","Living Characters",17,"Mar-12","marvel"
"54","Heidi Sladkin (Earth-616)","Secret","Good","Red Eyes","No Hair","Female","Homosexual Characters","Living Characters",15,"Sep-95","marvel"
"55","Molly von Richthofen (Earth-616)","Public","Good",NA,"Brown Hair","Female","Homosexual Characters","Living Characters",15,"Jul-00","marvel"
"56","Rob (Earth-616)",NA,"Neutral",NA,"Brown Hair","Male","Homosexual Characters","Living Characters",15,"Aug-06","marvel"
"57","Donald Meland (Earth-616)","No Dual","Good","Hazel Eyes","Reddish Blond Hair","Male","Homosexual Characters","Living Characters",15,"Mar-12","marvel"
"58","Arnold Astrovik (Earth-616)","No Dual","Neutral","Hazel Eyes","Brown Hair","Male","Homosexual Characters","Deceased Characters",14,"Jul-75","marvel"
"59","Alana Jobson (Earth-616)","Secret","Good","Green Eyes","Brown Hair","Female","Homosexual Characters","Deceased Characters",12,"Feb-08","marvel"
"60","Hector Baez (Earth-616)","No Dual","Good","Brown Eyes","Brown Hair","Male","Homosexual Characters","Living Characters",12,"Mar-12","marvel"
"61","Annabelle Riggs (Earth-616)","Public","Good","Blue Eyes","Brown Hair","Female","Homosexual Characters","Living Characters",12,"Apr-13","marvel"
